id;address;schooltype;title;content;type;year;finance;costs;comments;lat;lng;icon;color
4;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude Digitalisierung;Digitalisierung;2022;Gute Schule 2020-Mittel;765000;;51.376276;6.493546;fa-graduation-cap;blue
10;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Digitalisierung;Digitalisierung;2022;Gute Schule 2020-Mittel;765000;;51.371415;6.508907;fa-graduation-cap;blue
13;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Klassenräume;Sanierung;2022;;765000;;51.371415;6.508907;fa-graduation-cap;blue
14;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Flure und Treppenhäuser;Sanierung;2022;;765000;;51.371415;6.508907;fa-graduation-cap;blue
15;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Sanitäranlagen;Sanierung;2022;;765000;;51.371415;6.508907;fa-graduation-cap;blue
16;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;2. Rettungsweg für 1. OG, Außentreppe;Brandschutz;2022;;765000;;51.371415;6.508907;fa-graduation-cap;blue
17;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;765000;;51.371415;6.508907;fa-graduation-cap;blue
21;Bismarckstr. 67;Grundschule ;Bismarckschule;Einbau von Sekuranten;Verkehrssicherheit;2022;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
24;Bismarckstr. 67;Grundschule ;Bismarckschule;Erneuerung abgehängte Decken in Flurbereiche;Sanierung;2022;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
29;Bismarckstr. 67;Grundschule ;Bismarckschule;Sanierung Sanitäranlagen;Sanierung;2022;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
40;Bismarckstr. 67;Grundschule ;Bismarckschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
42;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Sanitäranlagen;Sanierung;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
47;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Flure und Treppenhäuser;Sanierung;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
50;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Sanierung Klassenräume;Sanierung;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
52;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Turnhalle, 2. RW für Umkleiden;Brandschutz;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
53;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Turnhalle: Sanierung Sanitäranlagen;Sanierung;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
57;Freiligrathstr. 47;Grundschule;Brüder-Grimm-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;1120000;;51.333853;6.579489;fa-graduation-cap;blue
70;Buchenstr. 28;Grundschule;Buchenschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;620000;;51.321356;6.560709;fa-graduation-cap;blue
72;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Sanierung Sanitäranlagen;Sanierung;2022;;840000;;51.375494;6.588768;fa-graduation-cap;blue
79;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Austausch Haus-Alarm-Zentrale;Brandschutz;2022;;840000;;51.375494;6.588768;fa-graduation-cap;blue
80;Buscher Holzweg 62;Grundschule;GGS Buscher Holzweg;Bauunterhalt < 10.000 Euro;Sanierung;2022;;840000;;51.375494;6.588768;fa-graduation-cap;blue
83;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Digitalisierung;Digitalisierung;2022;Gute Schule 2020-Mittel;505000;;51.357253;6.634335;fa-graduation-cap;blue
84;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Einrichtung Pausenausleihe;Nutzung;2022;;505000;;51.357253;6.634335;fa-graduation-cap;blue
89;Traarer Str. 105;Grundschule;Edith-Stein-Schule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;505000;;51.357253;6.634335;fa-graduation-cap;blue
96;Bellenweg 50;Grundschule;Forstwaldschule;Dachsanierung;Gebäudehülle;2022;;630000;;51.302289;6.505864;fa-graduation-cap;blue
100;Bellenweg 50;Grundschule;Forstwaldschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;630000;;51.302289;6.505864;fa-graduation-cap;blue
114;Fungendonk 31;Grundschule;Geschwister-Scholl;Bauunterhalt < 10.000 Euro;Sanierung;2022;;5390000;;51.319835;6.611307;fa-graduation-cap;blue
122;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Sanierung Sanitäranlagen;Sanierung;2022;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
127;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Turnhalle: Sanierung Sanitäranlagen;Sanierung;2022;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
128;Eichendorffstr. 21;Grundschule ;Grotenburgschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;1680000;;51.339411;6.599194;fa-graduation-cap;blue
136;Körnerstr. 17;Grundschule;Heinrichsschule;Sanierung Klinkerfassade u. Hydrophobierung;Gebäudehülle;2022;;625000;;51.363608;6.646081;fa-graduation-cap;blue
137;Körnerstr. 17;Grundschule;Heinrichsschule;Erneuerung Fenster;Gebäudehülle;2022;;625000;;51.363608;6.646081;fa-graduation-cap;blue
138;Körnerstr. 17;Grundschule;Heinrichsschule;Einbau BS-Türen im UG/EG;Brandschutz;2022;;625000;;51.363608;6.646081;fa-graduation-cap;blue
139;Körnerstr. 17;Grundschule;Heinrichsschule;Klassen OG über Verwaltung, 2. Rettungsweg;Brandschutz;2022;;625000;;51.363608;6.646081;fa-graduation-cap;blue
140;Körnerstr. 17;Grundschule;Heinrichsschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;625000;;51.363608;6.646081;fa-graduation-cap;blue
153;Kempener Allee 142/NG;Grundschule;GGS Horkesgath;Sanierung Flachdächer BT A/B;Gebäudehülle;2022;;1095000;;51.341356;6.530377;fa-graduation-cap;blue
158;Horkesgath 50;Grundschule;GGS Horkesgath;Bauunterhalt < 10.000 Euro;Sanierung;2022;;1095000;;51.337299;06.52905;fa-graduation-cap;blue
165;Girmesdyk 17-19;Grundschule;Jahnschule;Schulhofsanierung;Außenanlagen;2022;Gute Schule 2020-Mittel;855000;;51.344891;6.552899;fa-graduation-cap;blue
171;Girmesdyk 17-19;Grundschule;Jahnschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;855000;;51.344891;6.552899;fa-graduation-cap;blue
181;Kohlplatzweg 25;Grundschule;Johansenschule;Schulhofsanierung;Außenanlagen;2022;Gute Schule 2020-Mittel;805000;;51.338053;6.646787;fa-graduation-cap;blue
185;Kohlplatzweg 25;Grundschule;Johansenschule;Turnhalle, Erneuerung RWA Dach;Brandschutz;2022;;805000;;51.338053;6.646787;fa-graduation-cap;blue
186;Kohlplatzweg 25;Grundschule;Johansenschule;Turnhalle, Abklebung Dachhaut;Gebäudehülle;2022;;805000;;51.338053;6.646787;fa-graduation-cap;blue
188;Kohlplatzweg 25;Grundschule;Johansenschule;Turnhalle, Dach mit Attika aus Schiefer;Gebäudehülle;2022;;805000;;51.338053;6.646787;fa-graduation-cap;blue
190;Kohlplatzweg 25;Grundschule;Johansenschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;805000;;51.338053;6.646787;fa-graduation-cap;blue
195;An der Josefkirche 2;Grundschule;Josefschule;Einbau RW-Fenster u. Abtrennung Keller;Brandschutz;2022;;665000;;51.327285;06.55693;fa-graduation-cap;blue
197;An der Josefkirche 2;Grundschule;Josefschule;Sanierung Sanitäranlagen;Sanierung;2022;;665000;;51.327285;06.55693;fa-graduation-cap;blue
203;An der Josefkirche 2;Grundschule;Josefschule;Bauunterhalt < 10.000 Euro;Sanierung;2022;;665000;;51.327285;06.55693;fa-graduation-cap;blue
