id;address;schooltype;title;content;type;2017;2018;2019;2020;2021;2022;finance;costs;comments;lat;lng;icon;color
1;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Einbau HAZ;Brandschutz;x;;;;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
2;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Anstrich/ Rep. Fenster;Gebäudehülle;;;;x;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
3;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Sanierung Klassenäume;Sanierung;;;;x;;;Gute Schule 2020-Mittel;765000;;51.376276;6.493546;fa-graduation-cap;blue
4;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude Digitalisierung;Digitalisierung;;;;;;x;Gute Schule 2020-Mittel;765000;;51.376276;6.493546;fa-graduation-cap;blue
5;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Sanierung Flurbereiche u. Treppenhäuser;Sanierung;;;;x;;;Gute Schule 2020-Mittel;765000;;51.376276;6.493546;fa-graduation-cap;blue
6;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude, Erneuerung Fenster;Gebäudehülle;;;;x;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
7;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude  Umsetzung Brandschutzkonzept (Beginn in 2017);Brandschutz;x;;;;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
8;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Nebengebäude Ertüchtigung Lärmschutz;Verkehrssicherheit;;x;;;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
9;Amerner Str. 1-3, NG;Grundschule ;Astrid-Lindgren-Schule;Ggf. Erweiterung auf Grundlage SEP u. Musterraumprogramm;SEP;;;;;;;;765000;;51.376276;6.493546;fa-graduation-cap;blue
10;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Digitalisierung;Digitalisierung;;;;;;x;Gute Schule 2020-Mittel;765000;;51.371415;6.508907;fa-graduation-cap;blue
11;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Einbau RWA;Brandschutz;;;;x;;;;765000;;51.371415;6.508907;fa-graduation-cap;blue
12;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Einbau HAZ;Brandschutz;;;x;;;;;765000;;51.371415;6.508907;fa-graduation-cap;blue
13;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Klassenräume;Sanierung;;;;;;x;;765000;;51.371415;6.508907;fa-graduation-cap;blue
14;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Flure und Treppenhäuser;Sanierung;;;;;;x;;765000;;51.371415;6.508907;fa-graduation-cap;blue
15;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Sanierung Sanitäranlagen;Sanierung;;;;;;x;;765000;;51.371415;6.508907;fa-graduation-cap;blue
16;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;2. Rettungsweg für 1. OG, Außentreppe;Brandschutz;;;;;;x;;765000;;51.371415;6.508907;fa-graduation-cap;blue
17;Bonhoeffer Str. 16;Grundschule ;Astrid-Lindgren-Schule;Bauunterhalt < 10.000 Euro;Sanierung;;x;x;x;x;x;;765000;;51.371415;6.508907;fa-graduation-cap;blue
19;Bismarckstr. 67;Grundschule ;Bismarckschule;Ertüchtigung Außentreppe (Rest aus 2017);Brandschutz;x;; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
20;Bismarckstr. 67;Grundschule ;Bismarckschule;Digitalisierung;Digitalisierung;;x;; ; ;;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
21;Bismarckstr. 67;Grundschule ;Bismarckschule;Einbau von Sekuranten;Verkehrssicherheit;; ; ; ; ;x;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
22;Bismarckstr. 67;Grundschule ;Bismarckschule;Erweiterung Alarmierung Altbau (Rest aus 2017);Brandschutz;x;; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
23;Bismarckstr. 67;Grundschule ;Bismarckschule;Umsetzung Brandschutzmaßnahme;Brandschutz;;x; ; ; ; ;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
24;Bismarckstr. 67;Grundschule ;Bismarckschule;Erneuerung abgehängte Decken in Flurbereiche;Sanierung;x; ; ; ; ;x;;4525000;;51.341559;06.57382;fa-graduation-cap;blue
25;Bismarckstr. 67;Grundschule ;Bismarckschule;Sanierung Bodenbelag;Verkehrssicherheit;;x; ; ; ; ;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
26;Bismarckstr. 67;Grundschule ;Bismarckschule;kleiner Schulhof, Erneuerung Asphaltdecke;Außenanlagen;x;;x; ; ; ;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
27;Bismarckstr. 67;Grundschule ;Bismarckschule;großer Schulhof, Erneuerung Pflaster;Außenanlagen;; ; ;x; ; ;Gute Schule 2020-Mittel;4525000;;51.341559;06.57382;fa-graduation-cap;blue
