id;title;address;type;content;costs;finish;lat;lng;icon;color
1;BK Kaufmannsschule Bauteil A;Neuer Weg 121;Energetische Sanierung Außenhülle;Klassentrakt - Energetische Sanierung Fenster und Fassade; 	500000.00 € ;2018 ;51.337062;6.544768;fa-building-o;green
2;BK Kaufmannsschule Bauteil B;Neuer Weg 121;Energetische Sanierung Außenhülle;Aula u. Unterrichtsräume - Energetische Sanierung Fassade,Dach,Fenster; 	1400000.00 € ;2018 ;51.33764;6.544334;fa-building-o;green
3;BK Kaufmannsschule Turnhalle;Neuer Weg 121;Energetische Sanierung Außenhülle;Energetische Sanierung Fassade, Dach, Fenster; 	600000.00 € ;2018 ;51.33782;6.545451;fa-building-o;green
4;4. Gesamtschule, Lübecker Weg;Lübecker Weg 56;Energetische Sanierung Außenhülle;Klassentrakt - Energetische Sanierung Dach,Fenster und Fassade; 	1000000.00 € ;2018 ;51.35542;6.634316;fa-building-o;green
5;Kita Hermannstraße;Hermannstr. 39;Anpassung des Raumangebots;Anbau 1 zus. Gruppe m. Nebenräumen, Umbau der Sanitäreinrichtungen; 	1600000.00 € ;2018 ;51.325029;6.551994;fa-building-o;green
6;Kita Dieselstarße;Dieselstr. 24;Anpassung des Raumangebots;Anpassen des Raumangebotes durch Erweiterung und Aufstockung um ca. 250 m²; 	1800000.00 € ;2019 ;51.348277;6.525781;fa-building-o;green
7;Jugendfreizeit Herbertzstraße;Herbertzstr. 123;Energetische Dachsanierung;Energetische Sanierung Dach; 	200000.00 € ;Maßnahme ist abgeschlossen;51.324227;6.598650;fa-building-o;green
8;Kita Neuhofsweg;Neuhofer Weg 25;Energetische Sanierung der Fenster;Energetische Sanierung Fenster; 	250000.00 € ;Maßnahme ist abgeschlossen;51.372927;6.618275;fa-building-o;green
9;Kita Steckendorfer Straße;Steckendorfer Str. 60a;Erneuerung Dachstuhl;Altbau - Sanierung Dachstuhl, Dacheindeckung u. Dachdämmung; 	250000.00 € ;2018 ;51.338459;6.56841;fa-building-o;green
10;Diverse, Pumpen / Dämmung;a bis i;Energetische Maßnahmen;Erneuerung Heizungspumpen; ;;51.338002;6.567676;fa-building-o;green
a;Fabrik Heder;Virchowstraße 130;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	16000.00 € ;2017 ;51.322827;6.572372;fa-building-o;green
b;Textilmuseum;Andreasmarkt 8;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	22000.00 € ;2018 ;51.333801;6.636943;fa-building-o;green
c;Burg Linn;Rheinbabenstraße 85;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	18000.00 € ;2017 ;51.334652;6.635989;fa-building-o;green
d;Freizeitzentrum Süd / Jugendtreff;Kölner Str. 190;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	6500.00 € ;2017 ;51.318885;6.574731;fa-building-o;green
e;Herbertzstr. KITA & Jugendtreff;Herbertzstr. 123;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	4500.00 € ;2017 ;51.324476;6.598399;fa-building-o;green
f;Rathaus;Von-der-Leyen-Platz 1;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	14000.00 € ;2018 ;51.334011;6.558988;fa-building-o;green
g;BK Kaufmannsschule;Neuer Weg 121;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	15000.00 € ;2018 ;51.33765;6.545211;fa-building-o;green
h;Gesamtschule Kaiserplatz;Kaiserpl. 50;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	15000.00 € ;2018 ;51.343763;6.590972;fa-building-o;green
i;Schulkomplex Horkesgath;Horkesgath;Energetische Maßnahmen;Einbau Hocheffizienzpumpe für Heizung; 	15000.00 € ;2018 ;51.337263;6.529176;fa-building-o;green
