id;title;address;type;costs;finish
1;BK Kaufmannsschule Bauteil A;Neuer Weg 121;Energetische Sanierung Außenhülle; 	500.000,00 € ;2.018 
2;BK Kaufmannsschule Bauteil B;Neuer Weg 121;Energetische Sanierung Außenhülle; 	1.400.000,00 € ;2.018 
3;BK Kaufmannsschule Turnhalle;Neuer Weg 121;Energetische Sanierung Außenhülle; 	600.000,00 € ;2.018 
4;4. Gesamtschule, Lübecker Weg;Lübecker Weg 56;Energetische Sanierung Außenhülle; 	1.000.000,00 € ;2.018 
5;Kita Hermannstraße;Hermannstr. 39;Anpassung des Raumangebots; 	1.600.000,00 € ;2.018 
6;Kita Dieselstraße;Dieselstr. 24;Anpassung des Raumangebots; 	1.800.000,00 € ;2.019 
7;Jugendfreizeit Herbertzstraße;Herbertzstr. 123;Energetische Dachsanierung; 	200.000,00 € ;Maßnahme ist abgeschlossen
8;Kita Neuhofsweg;Neuhofer Weg 25;Energetische Sanierung der Fenster; 	250.000,00 € ;Maßnahme ist abgeschlossen
9;Kita Steckendorfer Straße;Steckendorfer Str. 60a;Erneuerung Dachstuhl; 	250.000,00 € ;2.018 
10;Fabrik Heeder;Virchowstraße 130;Diverse, Pumpen / Dämmung;16.700,00 €;2.017 
11;Textilmuseum;Andreasmarkt 8;Diverse, Pumpen / Dämmung;16.700,00 €;2.018 
12;Burg Linn;Rheinbabenstraße 85;Diverse, Pumpen / Dämmung;16.700,00 €;2.017 
13;Freizeitzentrum Süd / Jugendtreff;Kölner Str. 190;Diverse, Pumpen / Dämmung;16.700,00 €;2.017 
14;Herbertzstr. KITA & Jugendtreff;Herbertzstr. 123;Diverse, Pumpen / Dämmung;16.700,00 €;2.017 
15;Rathaus;Von-der-Leyen-Platz 1;Diverse, Pumpen / Dämmung;16.700,00 €;2.018 
16;BK Kaufmannsschule;Neuer Weg 121;Diverse, Pumpen / Dämmung;16.700,00 €;2.018 
17;Gesamtschule Kaiserplatz;Kaiserpl. 50;Diverse, Pumpen / Dämmung;16.700,00 €;2.018 
18;Schulkomplex Horkesgath;Horkesgath;Diverse, Pumpen / Dämmung;16.700,00 €;2.018 
;Gesamtinvestitionen KInvFöG I;;; 	7.750.300,00 € ;
;;;;;
;;; ;;
;;;;;
;;; ;;
;;;;;
;;;;;
