lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR
6.55638693155386,51.3247430647931,0170213,DEUTSCHER RING,10,Kaiserlinde,Tilia vulgaris Pallida,2016
6.53671693043572,51.339403556081,0170210,DE-GREIFF-STRAßE,9,Sorte der Schmalblättrigen Esche,Fraxinus angustifolia Raywood,2016
6.5454320551899,51.3281174539326,0170311,GABELSBERGERSTRAßE,2,Französischer Ahorn,Acer monspessulanum,2016
6.54626178286565,51.3274253372467,0170311,GABELSBERGERSTRAßE,13,Französischer Ahorn,Acer monspessulanum,2016
6.55317870041412,51.3258834821612,0170358,HAGERWEG,50,Scharlach-Eiche,Quercus coccinea,2016
6.54564019062099,51.3279457212414,0170311,GABELSBERGERSTRAßE,4,Französischer Ahorn,Acer monspessulanum,2016
6.5463498822564,51.3273520658438,0170311,GABELSBERGERSTRAßE,14,Französischer Ahorn,Acer monspessulanum,2016
6.55240275393304,51.3267101578868,0170293,FRANKENRING,130,Kaiserlinde,Tilia vulgaris Pallida,2016
6.55336180596088,51.3261944911921,0170293,FRANKENRING,141,Kaiserlinde,Tilia vulgaris Pallida,2016
6.55732223127899,51.3279253234554,0170579,LINDENSTRAßE,102,Selektion der Felsenbirne,Amelanchier arborea Robin Hill,2016
6.59715292722155,51.3571668617086,0870438,HÜTTENALLEE,182,Rotbuche,Fagus sylvatica,2016
6.59565799271123,51.2938256840437,0670015,ALTE NEUSSER STRAßE,40,Kaiserlinde,Tilia vulgaris Pallida,2016
6.5656395345569,51.2968225009641,0670095,ANRATHER STRAßE,56,Berg-Ahorn,Acer pseudoplatanus,2016
6.56109784885803,51.2963545126515,0670095,ANRATHER STRAßE,77,Berg-Ahorn,Acer pseudoplatanus,2016
6.55307557173856,51.3179498671882,2575230/A,"FDF Hauptfriedhof ALT, Heideckstraße",807,Papier-Birke,Betula papyrifera,2016
6.59597287380826,51.2932227815273,0670015,ALTE NEUSSER STRAßE,36,Kaiserlinde,Tilia vulgaris Pallida,2016
6.59591024262425,51.2933731901169,0670015,ALTE NEUSSER STRAßE,37,Kaiserlinde,Tilia vulgaris Pallida,2016
6.55986459548826,51.3240568917642,0470213,DEUTSCHER RING,5,Kaiserlinde,Tilia vulgaris Pallida,2016
6.5626444660005,51.3234107463045,0470213,DEUTSCHER RING,78,Kaiserlinde,Tilia vulgaris Pallida,2016
6.58324858699318,51.3405264336119,0470201,CROUSSTRAßE,5,Baum-Magnolie,Magnolia kobus,2016
6.56015979291852,51.3240375383866,0470213,DEUTSCHER RING,9,Kaiserlinde,Tilia vulgaris Pallida,2016
6.57753535615885,51.3524022569081,0270212,DEUßSTRAßE,2,Himalaja-Birke,Betula utilis,2016
6.58067704237102,51.3424842974981,0470237,DÜRERPLATZ,15,Sorte des Zierapfels,Malus Makamik,2016
6.5818993352164,51.3403831352304,0470238,DÜRERSTRAßE,67,Papier-Birke,Betula papyrifera,2016
6.58141494649301,51.3409934685901,0470238,DÜRERSTRAßE,76,Papier-Birke,Betula papyrifera,2016
6.56176650731817,51.334620749063,0470191,CARL-WILHELM-STRAßE,28,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2016
6.57737491380114,51.3532933994585,0270212,DEUßSTRAßE,8,Himalaja-Birke,Betula utilis,2016
6.58053905023026,51.3424567628586,0470237,DÜRERPLATZ,16,Sorte des Zierapfels,Malus Makamik,2016
6.56000931392066,51.3240463295567,0470213,DEUTSCHER RING,7,Kaiserlinde,Tilia vulgaris Pallida,2016
6.58343397996452,51.3382711810349,0470238,DÜRERSTRAßE,119,Papier-Birke,Betula papyrifera,2016
6.57752889168593,51.3524950347559,0270212,DEUßSTRAßE,3,Himalaja-Birke,Betula utilis,2016
6.57743999734627,51.352984649675,0270212,DEUßSTRAßE,5,Himalaja-Birke,Betula utilis,2016
6.55981333893447,51.3342479622565,0470191,CARL-WILHELM-STRAßE,7,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2016
6.55984963749957,51.3341677887368,0470191,CARL-WILHELM-STRAßE,8,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2016
6.58231761323135,51.3403127689521,0470201,CROUSSTRAßE,13,Baum-Magnolie,Magnolia kobus,2016
6.61637200246462,51.3335899486865,0770200,CRÖN,11,Blasenesche,Koelreuteria paniculata,2016
6.63404142930197,51.3626264735122,0970170,BRUCHWEG,39,Berg-Ahorn,Acer pseudoplatanus,2016
6.57809715144117,51.3376327824934,0470146,BOGENSTRAßE,34,Yoshino-Kirsche,Prunus x yedoensis,2016
6.60988146858209,51.3388436623664,0770123,BERLINER STRAßE,89,Sorte der Winter-Linde,Tilia cordata Erecta,2016
