lng,lat,OBJEKT_NR,OBJEKTBEZ,BAUMNUMMER,BAUMART,BOTANISCHER_NAME,PFLANZJAHR,icon,color
6.53940506249366,51.3385795080045,0170187,CANISIUSSTRAßE,9,Schnurbaum,Sophora japonica Regent,2017,fa-leaf,green
6.58216179226996,51.3184535049892,0670890,UNTERGATH,1018,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.58472807189809,51.3192945066923,0670890,UNTERGATH,1026,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.58887044047949,51.3208215397833,0670890,UNTERGATH,1041,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.58985993721769,51.3212466370019,0670890,UNTERGATH,1044,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.57960369569478,51.3176874718782,0670890,UNTERGATH,1009,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.58023317108373,51.3178850157848,0670890,UNTERGATH,1012,Einblättrige Robinie,Robinia pseudoacacia Unifoliola,2017,fa-leaf,green
6.52913691260966,51.3251619490291,0170318,GATHERHOFSTRAßE,25,Riesenblättrige Linde,Tilia americana Nova,2017,fa-leaf,green
6.55738767170908,51.3263094980186,0170198,CORNELIUSSTRAßE,3,Wald-Tupelobaum,Nyssa sylvatica,2017,fa-leaf,green
6.54602489188922,51.3339346609585,0170354,GUTENBERGSTRAßE,93,Gewöhnliche Platane,Platanus x acerifolia,2017,fa-leaf,green
6.54074021160137,51.3233248126809,0170292,FORSTWALDSTRAßE,208,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.54724598911173,51.3439475091975,0170331,GIRMESGATH,52,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.54699779272227,51.3343225223387,0170354,GUTENBERGSTRAßE,56,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.54000946790703,51.3226505527808,0170292,FORSTWALDSTRAßE,216,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.55647855501406,51.3279118893938,0170579,LINDENSTRAßE,13,Stadt-Linde,Tilia cordata Greenspire,2017,fa-leaf,green
6.64792732084887,51.349932403677,0970048,AM OBERFELD,10,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.56795214990324,51.3255488750315,0470030,AM HAUPTBAHNHOF,6,Gelbe Gleditschie,Gleditsia triacanthos Sunburst,2017,fa-leaf,green
6.64758295307649,51.3499013705746,0970048,AM OBERFELD,7,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.55572561674463,51.3228564109467,0570013,ALTE GLADBACHER STRAßE,28,Rotblättrige Sorte des Spitz-Ahorn,Acer platanoides Schwedleri,2017,fa-leaf,green
6.64827802472061,51.3499693010549,0970048,AM OBERFELD,13,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.64844144728141,51.3499777732102,0970048,AM OBERFELD,14,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.64571103375276,51.3539628579171,0970056,AM RÖTTGEN,16,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.64712972186216,51.3498824510478,0970048,AM OBERFELD,3,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.61515981775596,51.3334258204359,0770200,CRÖN,7,Blasenesche,Koelreuteria paniculata,2017,fa-leaf,green
6.64836732503235,51.3653360811236,0970240,DUISBURGER STRAßE,8,Baum-Magnolie,Magnolia loebneriMerrill,2017,fa-leaf,green
6.64838259555278,51.365111370787,0970240,DUISBURGER STRAßE,10,Baum-Magnolie,Magnolia loebneriMerrill,2017,fa-leaf,green
6.61270981879012,51.3330977151777,0770200,CRÖN,1,Blasenesche,Koelreuteria paniculata,2017,fa-leaf,green
6.56278315602871,51.3233454835054,0470213,DEUTSCHER RING,79,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.58305366555572,51.33892327743,0470238,DÜRERSTRAßE,128,Gelbe Gleditschie,Gleditsia triacanthos Sunburst,2017,fa-leaf,green
6.61364538170708,51.3332229958923,0770200,CRÖN,4,Blasenesche,Koelreuteria paniculata,2017,fa-leaf,green
6.67505902767453,51.321426482079,0970239,DÜSSELDORFER STRAßE,163,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.5801232696218,51.3428642764272,0470238,DÜRERSTRAßE,3,Gelbe Gleditschie,Gleditsia triacanthos Sunburst,2017,fa-leaf,green
6.59715078548889,51.34561149773,0870302,FRIEDRICH-EBERT-STRAßE,119,Gewöhnliche Platane,Platanus x acerifolia,2017,fa-leaf,green
6.65136076318255,51.3786118993189,4978514,"Am Heesbusch, Parkgelände",175,Ginkgobaum,Ginkgo biloba,2017,fa-leaf,green
6.648332142574,51.3650011511282,0970240,DUISBURGER STRAßE,20,Baum-Magnolie,Magnolia loebneriMerrill,2017,fa-leaf,green
6.64832126404205,51.3651359875421,0970240,DUISBURGER STRAßE,21,Baum-Magnolie,Magnolia loebneriMerrill,2017,fa-leaf,green
6.65132511579425,51.3787268542938,4978514,"Am Heesbusch, Parkgelände",176,Ginkgobaum,Ginkgo biloba,2017,fa-leaf,green
6.64931013802471,51.3694456037445,0970240,DUISBURGER STRAßE,35,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.6493417366553,51.3695479439954,0970240,DUISBURGER STRAßE,36,Kaiserlinde,Tilia vulgaris Pallida,2017,fa-leaf,green
6.58001764076206,51.3428429626122,0470238,DÜRERSTRAßE,17,Gelbe Gleditschie,Gleditsia triacanthos Sunburst,2017,fa-leaf,green
6.67536090452465,51.3209034622342,0970239,DÜSSELDORFER STRAßE,168,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.67385191852708,51.3237793832428,0970239,DÜSSELDORFER STRAßE,209,Spitz-Ahorn,Acer platanoides,2017,fa-leaf,green
6.5810314185313,51.3414171337182,0470238,DÜRERSTRAßE,33,Gelbe Gleditschie,Gleditsia triacanthos Sunburst,2017,fa-leaf,green
6.56601197575925,51.296793759315,0670095,ANRATHER STRAßE,168,Berg-Ahorn,Acer pseudoplatanus,2017,fa-leaf,green
6.61248761237768,51.3396064084737,0770123,BERLINER STRAßE,183,Purpur-Erle,Alnus x spaethii,2017,fa-leaf,green
6.55823988644662,51.3305103427154,0470140,BLUMENSTRAßE,6,Rotdorn,Crataegus laevigata Rubra Plena,2017,fa-leaf,green
6.6351960296915,51.3606819296602,0970170,BRUCHWEG,61,Berg-Ahorn,Acer pseudoplatanus,2017,fa-leaf,green
6.6359013800122,51.3593754399303,0970170,BRUCHWEG,65,Berg-Ahorn,Acer pseudoplatanus,2017,fa-leaf,green
6.63508154652587,51.3607050418106,0970170,BRUCHWEG,15,Berg-Ahorn,Acer pseudoplatanus,2017,fa-leaf,green
6.61788406167502,51.3194208887926,0770108,BACHERHOFSTRAßE,14,Baum-Hasel,Corylus colurna,2017,fa-leaf,green
6.58629643511771,51.3404565902719,0870335,GNEISENAUSTRAßE,24,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.58629447715382,51.340639974842,0870335,GNEISENAUSTRAßE,6,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.61653766917902,51.3347383981824,0770333,GLINDHOLZSTRAßE,13,Kegel-Robinie,Robinia pseudoacacia Bessoniana,2017,fa-leaf,green
6.58638639604473,51.340308726163,0870335,GNEISENAUSTRAßE,26,Japanische Zierkirsche,Prunus serrulata Kanzan,2017,fa-leaf,green
6.58242464029676,51.3416123596107,0470302,FRIEDRICH-EBERT-STRAßE,48,Schnurbaum,Sophora japonica Regent,2017,fa-leaf,green
